token	lemma
rapprochement	rapprochement
laboratoire	laboratoir
autre	autre
laboratoire	laboratoire
espci	espci
celui	celui
optique	optique
physique	physique
créant	créer
institut	institut
langevin	langevin
ondes	onde
images	image
directeur	directeur
arnaud	arnaud
tourin	tourin
rémi	rémi
carminatti	carminatti
directeurs	directeur
adjoints	adjoint
unité	unité
mixte	mixte
cnrsespci	cnrsespci
paristechupmcuniversité	paristechupmcuniversiter
paris-diderot	paris-diderot
compte	compte
centaine	centaine
personnes	personne
coeur	coeur
métier	métier
physique	physique
ondes	onde
recherches	rechercher
y	y
menées	mener
étendent	étendre
concepts	concept
fondamentaux	fondamental
applications	application
poussées	pousser
imagerie	imageri
multi-ondes	multi-onde
acousto-optique	acousto-optiqu
photo-acoustique	photo-acoustiqu
élastographie	élastographie
ultrasons	ultrason
irm	irm
techniques	technique
originales	original
focalisation	focalisation
retournement	retournemer
temporel	temporel
filtre	filtre
inverse	inverse
contrôle	contrôle
front	front
ondes	onde
passant	passer
création	création
entreprises	entreprise
mettant	mettre
oeuvre	oeuvre
nouvelles	nouveau
technologies	technologie
domaines	domaine
biomédical	biomédical
télécommunications	télécommunicatier
domotique	domotiqu
etc	etc
aventure	aventure
poursuit	poursuivre
toujours	toujours
pluridisciplinarité	pluridisciplinarité
clé	cler
notre	notre
réussite	réussite
faut-il	faut-il
impérativement	impérativement
préserver	préserver
conclut-il	conclut-il
environnement	environnement
allenvi	allenvi
publie	publier
premier	premier
rapport	rapport
innovation	innovation
environnement	environnement
allenvi	allenvi
publie	publier
premier	premier
rapport	rapport
allenvi	allenvi
alliance	alliance
nationale	national
environnement	environnement
créée	créer
9	9
février	février
2010	2010
initiative	initiative
valérie	valéri
pécresse	pécresse
ministre	ministre
enseignement	enseignement
supérieur	supérieur
environnement	environnement
système	systèm
complexe	complexe
recouvre	recouvrir
champ	champ
étendu	étendre
agroécologie	agroécologie
aménagement	aménagement
territoires	territoire
passant	passer
sciences	sciencer
mer	mer
climat	climat
biologie	biologie
écologie	écologie
physico-chimie	physico-chimie
mathématiques	mathématique
appliquées	appliqué
géographie	géographi
sciences	science
économiques	économique
sociales	social
toutes	tout
disciplines	discipline
mobilisées	mobiliser
sciences	science
environnementales	environnemental
rappelle	rappell
introduction	introduction
roger	roger
genet	genet
président	président
allenvi	allenvi
directeur	directeur
général	général
cemagref	cemagref
nécessité	nécessité
mieux	mieux
programmer	programmer
coordonner	coordonner
interdisciplinarité	interdisciplinarité
caractérise	caractéris
regrouper	regrouper
principaux	principal
opérateurs	opérateur
domaine	domaine
environnement	environnement
alliance	alliance
nationale	national
environnement	environnement
compte	compte
12	12
membres	membre
fondateurs	fondateur
1	1
alimentation	alimentation
eau	eau
climat	climat
territoires	territoire
constituent	constituer
quatre	quatre
grands	grand
enjeux	enjeux
allenvi	allenvi
véritables	véritable
défis	défi
relever	relever
décennies	décennier
venir	venir
puisqu	puisqu
agira	agir
notamment	notamment
matière	matière
alimentation	alimentation
parvenir	parvenir
nourrir	nourrir
9	9
milliards	milliard
individus	individu
horizon	horizon
2050	2050
concernant	concerner
eau	eau
accès	accès
devra	devoir
garanti	garanti
plan	plan
mondial	mondial
non	non
seulement	seulement
qualité	qualité
nécessairement	nécessairement
quantité	quantiter
autre	autre
défi	défi
taille	taille
auquel	auquel
humanité	humanité
devra	devoir
faire	faire
face	face
changements	changement
climatiques	climatique
érosion	érosion
biodiversité	biodiversité
enfin	enfin
toutes	tout
populations	population
planète	planèt
devront	devoir
respecter	respecter
impératif	impératif
celui	celui
qualité	qualité
environnementale	environnemental
territoires	territoire
allenvi	allenvi
travail	travail
chercheurs	chercheur
organisé	organiser
12	12
groupes	groupe
thématiques	thématique
réunissant	réunir
250	250
experts	expert
scientifiques	scientifique
agroécologie	agroécologie
sol	sol
aliments	aliment
alimentation	alimentation
biodiversité	biodiversité
biologie	biologie
plantes	plante
climat	climat
evolution	evolution
adaptation	adaptation
atténuation	atténuation
impacts	impact
eau	eau
ecotechnologies	ecotechnologies
chimie	chimie
durable	durable
sciences	science
mer	mer
ressources	ressource
marines	marin
risques	risque
environnementaux	environnementau
naturels	naturel
écotoxiques	écotoxique
territoires	territoire
ressources	ressource
naturelles	naturel
villes	ville
mobilités	mobilité
evaluation	evaluation
environnementale	environnemental
cycle	cycle
vie	vie
nouvel	nouveau
élan	élan
initié	initier
déclare	déclarer
président	président
allenvi	allenvi
revient	revenir
maintenant	maintenant
nos	notre
15000	15000
scientifiques	scientifique
chercheurs	chercheur
ingénieurs	ingénieur
techniciens	technicien
identifier	identifier
concevoir	concevoir
valider	valider
déployer	déployer
solutions	solution
permettront	permettre
relever	relever
défis	défi
transition	transition
écologique	écologique
vers	vers
croissante	croissant
verte	verte
conclut-il	conclut-il
introduction	introduction
premier	premier
rapport	rapport
publié	publier
alliance	alliance
nationale	national
environnement	environnement
--	--
1	1
brgm	brgm
cea	ceer
cemagref	cemagref
cirad	cirad
cnrs	cnrs
ifremer	ifremer
ifsttar	ifsttar
inra	inrer
ird	ird
conférence	conférence
présidents	président
universités	université
météo	météo
france	france
muséum	muséum
national	national
histoire	histoire
naturelle	naturel
médaille	médaill
innovation	innovation
récompense	récompense
roboticien	roboticien
ne	ne
cesse	cesser
innover	innover
médaille	médaill
innovation	innovation
récompense	récompense
roboticien	roboticien
ne	ne
cesse	cesser
innover	innover
27	27
avril	avril
cnrs	cnr
décerné	décerné
première	premier
fois	fois
médaille	médaill
innovation	innovation
parmi	parmi
trois	trois
lauréats	lauréat
françois	françoi
pierrot	pierrot
directeur	directeur
cnrs	cnr
laboratoire	laboratoir
informatique	informatique
robotique	robotique
microélectronique	microélectronique
montpellier	montpellier
lirmm	lirmm
réputé	réputé
mondialement	mondialement
roboticien	roboticien
notamment	notamment
participé	participer
conception	conception
développement	développement
robot	robot
parallèle	parallèle
rapide	rapide
monde	monde
brevet	brevet
racheté	racheter
entreprise	entreprise
américaine	américain
leader	leader
domaine	domaine
systèmes	système
robotisés	robotiser
adept	adept
autant	autant
dire	dire
contrairement	contrairement
beaucoup	beaucoup
gens	gen
dissertent	disserter
innovation	innovation
chercheur	chercheur
lui	luire
sait	savoir
innovation	innovation
puisqu	puisqu
vit	vit
pratique	pratique
quotidien	quotidien
parle	parl
remarquablement	remarquablemer
bien	bien
innover	innover
faut	falloir
évidemment	évidemment
idées	ider
indispensable	indispensable
souvent	souvent
beaucoup	beaucoup
chance	chance
or	or
depuis	depuis
début	début
ma	mon
carrière	carrière
je	je
n	n
ai	avoir
cessé	cesser
avoir	avoir
déclare-t-il	déclare-t-il
emblée	emblé
rappelle	rappell
première	premier
chance	chance
sa	son
carrière	carrière
professionnelle	professionnel
avoir	avoir
recruté	recruter
cnrs	cnrs
me	me
soutient	soutenir
depuis	depuis
vingt	vingt
ans	an
m	m
accorde	accorde
grande	grand
liberté	liberté
mon	mon
travail	travail
important	important
lui	lui
innovation	innovation
n	n
pas	pas
travail	travail
solitaire	solitaire
bien	bien
contraire	contraire
nécessité	nécessité
disposer	disposer
équipe	équipe
sa	son
seconde	second
chance	chance
avoir	avoir
recruté	recruter
montpellier	montpellier
ville	ville
magnifique	magnifique
dispose	disposer
potentiel	potentiel
tout	tout
fait	fait
exceptionnel	exceptionnel
particulier	particulier
laboratoire	laboratoire
réputé	réputé
mondialement	mondialement
lirmm	lirmm
laboratoire	laboratoir
exceptionnel	exceptionnel
renferme	renferm
équipe	équipe
robotique	robotique
concentre	concentrer
grands	grand
talents	talent
lesquels	lequel
je	je
travaille	travailler
quotidien	quotidien
tous	tout
ensemble	ensemble
nous	nous
avons	avoir
pu	pouvoir
transformer	transformer
nos	notre
idées	idée
produits	produire
notamment	notamment
france	france
europe	europe
etats-unis	etats-unis
japon	japon
créer	créer
entreprise	entreprise
wany	wany
robotics	robotic
enthousiasme-t-il	enthousiasme-t-il
françois	françoi
pierrot	pierrot
rappelle	rappell
démarche	démarch
innovation	innovation
fait	faire
conjonction	conjonction
problème	problème
théorique	théorique
général	général
sert	sert
fil	fil
conducteur	conducteur
thèse	thèse
problème	problèm
industriel	industriel
rencontre	rencontre
va	aller
émerger	émerger
prototypes	prototype
fois	fois
cohérents	cohérent
démarche	démarch
scientifique	scientifique
théorique	théorique
proche	proche
besoin	besoin
industriel	industriel
partir	partir
prototypes	prototype
nous	nous
allons	aller
pouvoir	pouvoir
faire	faire
démonstrations	démonstration
auprès	auprès
industriels	industriel
potentiellement	potentiellement
intéressés	intéresser
chercher	chercher
aller	aller
loin	loin
possible	possible
afin	afin
aboutir	aboutir
solutions	solution
crédibles	crédible
puissent	pouvoir
avoir	avoir
sens	sens
fois	fois
scientifique	scientifique
technique	technique
éventuellement	éventuellement
économique	économique
mettre	mettre
produit	produit
marché	marcher
résume-t-il	résume-t-il
appliquant	appliquer
démarche	démarch
équipe	équipe
conçu	concevoir
robot	robot
parallèle	parallèle
rapide	rapide
tout	tout
marché	marché
mondial	mondial
clé	cler
innovation	innovation
robot	robot
quatre	quatre
chaînes	chaîne
parallèle	parallèle
agissent	agir
toutes	tout
même	même
temps	temps
seul	seul
organe	organe
permet	permettre
déplacer	déplacer
extrêmement	extrêmement
vite	vite
exemple	exemple
chocolats	chocolat
lors	lors
leur	son
mise	mise
boîte	boîte
poissons	poisson
barquettes	barquette
voire	voire
secteur	secteur
microélectronique	microélectronique
déplacer	déplacer
vite	vite
possible	possible
composants	composant
on	on
cherche	cherche
assembler	assembler
explique-t-il	explique-t-il
françois	françoi
pierrot	pierrot
poursuit	poursuivre
différents	différent
projets	projet
particulier	particulier
fondation	fondation
privée	priver
espagnole	espagnol
tecnalia	tecnalia
fondation	fondation
nous	nous
véritable	véritable
relais	relais
transformer	transformer
nos	notre
connaissances	connaissance
avantages	avantage
compétitifs	compétitif
entreprises	entreprendre
souligne	souligner
chercheur	chercheur
lirmm	lirmm
y	y
quatre	quatre
ans	an
fondation	fondation
même	même
créé	créer
filiale	filiale
montpellier	montpellier
chance	chance
toujours	toujours
chance	chance
évoque	évoqu
françois	françoi
pierrot	pierrot
celle	celui
travailler	travailler
établissement	établissement
laissé	laisser
vivre	vivre
sa	son
vie	vie
collaborer	collaborer
collègues	collègue
remarquablement	remarquablement
créatifs	créatif
enfin	enfin
trouver	trouver
relais	relais
nécessaire	nécessaire
tecnalia	tecnalia
puis	pouvoir
beaucoup	beaucoup
idées	ider
originales	original
telle	tel
recette	recette
innover	innover
selon	selon
chercheur	chercheur
montpellier	montpellier
produire	produire
biogaz	biogaz
absorber	absorber
co2	co2
grâce	grâce
micro-algues	micro-algue
innovation	innovation
produire	produir
biogaz	biogaz
absorber	absorber
co2	co2
grâce	grâce
micro-algues	micro-algue
utiliser	utiliser
digestion	digestion
micro-algues	micro-algue
bactéries	bactérie
produire	produire
biométhane	biométhane
biocarburant	biocarburer
apparaît	apparaître
solution	solution
prometteuse	prometteur
avenir	avenir
croissance	croissance
rapide	rapide
autres	autre
végétaux	végétal
utilisation	utilisation
efficace	efficace
lumière	lumière
micro-algues	micro-algue
présentent	présenter
bon	bon
rendement	rendement
énergétique	énergétique
depuis	depuis
plusieurs	plusieurs
années	année
équipe	équipe
projet	projet
biocore	biocore
inria	inria
sophia	sophia
antipolis-méditerranée	antipolis-méditerraner
travaille	travailler
sujet	sujet
collaboration	collaboration
ses	son
partenaires	partenaire
inra	inrer
ifremer	ifremer
visiblement	visiblement
résultats	résultat
rendez-vous	rendez-vous
puisque	puisque
brevets	brevet
déjà	déjà
déposés	déposer
2006	2006
puis	pouvoir
2009	2009
ils	il
concernent	concerner
procédé	procéder
méthanisation	méthanisation
micro-algues	micro-algue
permet	permettre
utiliser	utiliser
résidus	résidu
digestion	digestion
ammoniac	ammoniac
engrais	engrai
phosphatés	phosphaté
nourrir	nourrir
algues	algue
elles-mêmes	elles-même
couplage	couplage
production	production
culture	culture
permet	permettre
limiter	limiter
rejets	rejet
environnement	environnement
gaz	gaz
carbonique	carbonique
fixé	fixer
micro-algues	micro-algue
photosynthèse	photosynthèse
valorisé	valoriser
inria	inria
ses	son
partenaires	partenaire
entament	entament
seconde	second
phase	phase
optimisation	optimisation
procédé	procéder
cadre	cadr
projet	projet
anr	anr
agence	agencer
nationale	national
symbiose	symbios
auquel	auquel
participent	participer
ecosym	ecosym
laboratoire	laboratoir
cnrs	cnr
entreprise	entreprise
naskéo	naskéo
environnement	environnement
spécialisée	spécialiser
valorisation	valorisation
déchets	déchet
cela	celer
passe	passer
notamment	notamment
modélisation	modélisation
croissance	croissance
comportement	comportemer
populations	populatier
algues	algue
bactéries	bactérie
équipe	équipe
biocore	biocore
inria	inria
conçu	concevoir
modèles	modèle
comportement	comportemer
micro-algues	micro-algue
bactéries	bactérie
modèles	modèle
second	second
temps	temps
implantés	implanter
simulateurs	simulateur
numériques	numérique
grâce	grâce
derniers	dernier
alors	alors
possible	possible
réaliser	réaliser
expérimentations	expérimentation
in	in
silico	silico
moindre	moindre
coût	coût
exemple	exemple
estimer	estimer
meilleures	meilleur
conditions	condition
exposition	exposition
soleil	soleil
alimentation	alimentation
algues	algue
production	production
quantité	quantité
élevée	élevé
biogaz	biogaz
mise	mettre
place	place
premier	premier
système	système
pilote	pilot
extérieur	extérieur
composé	composer
bassin	bassin
culture	culture
ovoïde	ovoïde
méthaniseur	méthaniseur
va	aller
permettre	permettre
valider	valider
conditions	condition
réelles	réel
résultats	résultat
obtenus	obtenir
laboratoire	laboratoir
restera	rester
ensuite	ensuite
franchir	franchir
nouvelle	nouveau
étape	étape
celle	celui
pilote	pilote
industriel	industriel
heure	heure
autre	autre
piste	piste
explorer	explorer
cadre	cadre
projet	projet
symbiose	symbiose
agit	agir
utiliser	utiliser
micro-algues	micro-algue
nettoyer	nettoyer
fumées	fumer
usines	usine
micro-algues	micro-algue
peuvent	pouvoir
ingérer	ingérer
proportion	proportion
co2	co2
leur	son
croissance	croissance
pourrait-on	pourrait-on
utiliser	utiliser
première	premier
étape	étape
sorte	sort
filtre	filtre
avant	avant
réutiliser	réutiliser
seconde	second
produire	produire
biogaz	biogaz
biocarburant	biocarburer
réseaux	réseal
capteurs	capteur
sans	sans
fil	fil
moindre	moindre
coût	coût
usines	usine
innovation	innovation
réseaux	réseal
capteurs	capteur
sans	sans
fil	fil
moindre	moindre
coût	coût
usines	usine
réseau	réseau
sans	sans
fil	fil
concept	concept
évoque	évoqu
évidemment	évidemment
secteurs	secteur
téléphonie	téléphonie
internet	internet
mobiles	mobile
autant	autant
existe	exister
autres	autre
types	type
réseaux	réseal
sans	sans
fil	fil
complexes	complexe
fonctionnement	fonctionnement
ne	ne
nécessite	nécessiter
pas	pas
utilisation	utilisation
relais	relai
fixes	fixe
télécommunications	télécommunication
relais	relai
mobiles	mobile
agit	agir
réseaux	réseal
permettent	permettre
communiquer	communiquer
capteurs	capteur
dispersés	disperser
vastes	vaster
sites	site
industriels	industriel
non	non
équipés	équiper
réseau	réseau
câblé	câblé
afin	afin
indiquer	indiquer
dépassement	dépassement
seuil	seuil
pollution	pollution
degré	degré
usure	usure
éléments	élément
machines	machine
problème	problèm
informations	information
envoyées	envoyer
ondes	onde
radio	radio
portée	porter
n	n
quelques	quelque
dizaines	dizaine
mètres	mètre
nécessité	nécessité
utiliser	utiliser
capteurs	capteur
relais	relai
intermédiaires	intermédiaire
difficulté	difficulter
combiner	combiner
exigences	exigence
industriels	industriel
savoir	savoir
minimiser	minimiser
consommation	consommation
énergétique	énergétique
plupart	plupart
capteurs	capteur
fonctionnant	fonctionner
batteries	batterie
garantir	garantir
envoi	envoi
message	message
délais	délai
impartis	impartir
tout	tout
compatible	compatible
interfaces	interface
existantes	existant
explique	expliquer
pascale	pascal
minet	minet
équipe-projet	équipe-projet
hipercom	hipercom
inria	inria
ajoutons	ajouter
capteurs	capteur
ne	ne
disposant	disposer
capacités	capacité
mémoire	mémoir
limitées	limiter
programmes	programme
développés	développé
doivent	devoir
simples	simple
cadre	cadre
projet	projet
anr	anr
agence	agencer
nationale	national
ocari	ocari
coordonne	coordonn
edf	edf
rassemble	rassembler
bien	bien
acteurs	acteur
secteur	secteur
académique	académique
universités	université
clermont-ferrand	clermont-ferrand
toulouse	toulous
paris-sud	paris-sud
inria	inria
industriels	industriel
dcns	dcn
telit	telit
inria	inria
mis	mettre
point	point
protocole	protocole
permet	permettre
choisir	choisir
bons	bon
relais	relais
prenant	prendre
compte	compte
existence	existence
relais	relai
mobile	mobile
exemple	exemple
capteurs	capteur
portés	porter
intervenant	intervenir
humain	humain
capteurs	capteur
disposent	disposer
trois	trois
états	état
possibles	possible
transmission	transmission
réception	réception
veille	veille
notre	notre
protocole	protocole
vise	viser
laisser	laisser
souvent	souvent
veille	veille
tout	tout
garantissant	garantir
envoi	envoi
message	message
délais	délai
évitant	éviter
passer	passer
toujours	toujours
mêmes	même
capteurs	capteur
précise	préciser
chercheuse	chercheur
inria	inria
dès	dès
septembre	septembre
prochain	prochain
tests	test
vraie	vrai
grandeur	grandeur
doivent	devoir
réalisés	réaliser
usines	usine
edf	edf
constructeur	constructeur
naval	naval
militaire	militaire
dcns	dcns
caractéristiques	caractéristique
plantes	plante
mise	mettre
service	service
grande	grand
base	base
données	donnée
monde	mond
innovation	innovation
caractéristiques	caractéristique
plantes	plante
mise	mettre
service	service
grande	grand
base	base
données	donnée
monde	mond
caractéristiques	caractéristique
structurales	structural
physiologiques	physiologique
reproductives	reproductif
plantes	plante
déterminent	déterminer
manière	manière
celles-ci	celui-ci
battent	battre
avoir	avoir
accès	accès
leurs	leur
ressources	ressource
grandissent	grandir
affectent	affecter
leurs	leur
écosystèmes	écosystème
or	or
connaître	connaître
traits	trait
fonctionnels	fonctionnel
on	on
appelle	appeler
utile	utile
notamment	notamment
déterminer	déterminer
influence	influence
végétaux	végétal
cycles	cycle
eau	eau
carbone	carbone
rassembler	rassembler
données	donnée
grand	grand
nombre	nombre
espèces	espèce
plantes	plante
alimenter	alimenter
modèles	modèle
afin	afin
permettre	permettre
derniers	dernier
mieux	mieux
représenter	représenter
effets	effet
changements	changement
environnementaux	environnemental
réchauffement	réchauffemer
climatique	climatique
écosystèmes	écosystème
resté	rester
difficile	difficile
ici	ici
importance	importanc
initiative	initiative
try	try
compilant	compiler
93	93
bases	base
données	donnée
constitue	constituer
grande	grand
base	base
données	donnée
monde	mond
caractéristiques	caractéristique
plantes	plante
base	bas
données	donnée
intérieur	intérieur
laquelle	lequel
traits	trait
fonctionnels	fonctionnel
classés	classer
52	52
groupes	groupe
vont	aller
hauteur	hauteur
longévité	longévité
plante	plant
taille	taille
graine	grain
passant	passer
contenu	contenu
azote	azote
feuille	feuill
porosité	porosité
bois	boi
4	4
années	année
collaboration	collaboration
nombreux	nombreux
scientifiques	scientifique
issus	issu
106	106
monde	monde
laboratoire	laboratoir
ecologie	ecologie
alpine	alpine
cnrsuniversité	cnrsuniversité
joseph	joseph
fourieruniversité	fourieruniversité
savoie	savoie
grenoble	grenobl
centre	centre
ecologie	ecologie
fonctionnelle	fonctionnelle
evolutive	evolutiv
cnrsuniversités	cnrsuniversiter
montpellier	montpellier
1	1
2	2
3	3
nîmessupagrociradepheirdinra	nîmessupagrociradepheirdinra
montpellier	montpellier
auront	avoir
nécessaires	nécessaire
compiler	compiler
3	3
millions	million
données	donnée
concernant	concerner
69000	69000
300000	300000
espèces	espèce
plantes	plante
existantes	existant
try	try
devrait	devoir
permettre	permettre
améliorer	améliorer
modélisation	modélisation
système	système
terre	terre
remettant	remettre
notamment	notamment
cause	cause
manière	manière
modèles	modèle
globaux	global
végétation	végétation
classent	classer
plantes	plante
nombre	nombre
réduit	réduire
grands	grand
types	type
exemple	exemple
arbres	arbre
feuillage	feuillage
persistant	persister
premières	premier
analyses	analyse
réalisées	réaliser
aide	aide
base	base
montré	montrer
variabilité	variabilité
traits	trait
fonctionnels	fonctionnel
plantes	plante
était	être
importante	important
même	même
types	type
individus	individu
même	même
espèce	espèce
peuvent	pouvoir
montrer	montrer
différences	différence
significatives	significatif
eux	eux
fonction	fonction
contraintes	contraindre
environnementales	environnemental
auxquelles	auxquelles
ils	il
soumis	soumettre
avère-t-il	avère-t-il
nécessaire	nécessaire
construire	construire
types	typer
précis	précis
basés	baser
données	donnée
terrain	terrain
afin	afin
modèles	modèle
utilisés	utiliser
soit	être
fiables	fiabler
rendent	rendre
mieux	mieux
compte	compt
biodiversité	biodiversité
réelle	réel
premiers	premier
résultats	résultat
significatifs	significatif
projet	projet
important	important
industrie	industrie
fromagère	fromager
côté	côté
pôles	pôle
premiers	premier
résultats	résultat
significatifs	significatif
projet	projet
important	important
industrie	industrie
fromagère	fromager
même	même
existe	exister
autres	autre
enzymes	enzyme
protéolytiques	protéolytique
origine	origine
animale	animal
microbienne	microbien
voire	voire
végétale	végétal
